content,index
"CNN host Van Jones is the CEO of the REFORM Alliance, a criminal justice organization for which Jessica Jackson serves as the chief advocacy officer. The views expressed in this commentary are his own. View more opinion on CNN.
 (CNN)At the start of any pand… [+9511 chars]",249
"(CNN)People in the Czech Republic can now shop at hardware and bicycle stores, play tennis and go swimming. Austria plans to reopen smaller shops after Easter. Denmark will reopen kindergartens and schools from next week if coronavirus cases remain stable, an… [+11041 chars]",250
"The Actors Fund: TAF provides financial relief and promotes economic security for performing arts and entertainment professionals.
The Actors Fund of Canada: The AFCs emergency assistance fund will help help Canadian arts and entertainment professionals main… [+21080 chars]",251
"(CNN)An emergency room doctor in Miami, Florida, has temporarily lost custody of her 4-year-old daughter while she treats patients during the coronavirus pandemic.
Dr. Theresa Greene told CNN's New Day that she was appealing the emergency order that granted … [+3033 chars]",252
RAND,253
"(CNN)A weeks-long testing delay that effectively blinded public health officials to the spread of the coronavirus in the US might have been avoided had federal agencies fully enacted their own plan to ramp up testing during a national health crisis.
The plan… [+12670 chars]",254
Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,255
"U.S. stock futures were lower on Sunday night after OPEC and other oil-producing countries reached a deal on a massive production cut while investors digested the outlook on the coronavirus. 
Dow Jones Industrial Average futures traded 420 points lower, or 1… [+2781 chars]",256
This is a live blog. Please check back for updates. U.S. stock futures rose amid growing optimism that the coronavirus outbreak is starting to peak. Dow Jones Industrial Average futures were up more than 300 points. S&amp;P 500 and Nasdaq 100 futures also tra… [+550 chars],257
"JPMorgan Chase on Tuesday posted first-quarter profit that was well below analysts' expectations, although the bank's revenue held up amid the coronavirus pandemic.
The earnings drop was caused by a massive $6.8 billion addition to the bank's credit reserves… [+4305 chars]",258
"People are seen wearing protective face masks outside a Chase Bank in New York, March 27, 2020.
Major banks and health care companies will be the first to reveal how the early weeks of the coronavirus shutdowns impacted their profits, outlook, work force and… [+6082 chars]",259
"Stocks jumped on Tuesday, resuming the market's sharp rebound from last month's lows, as investors grew more optimistic about the coronavirus outlook. 
The Dow Jones Industrial Average rallied 558.99 points, or 2.4%, to 23,949.76. The S&amp;P 500 climbed 3.1… [+4332 chars]",260
"Stocks powered higher Monday, amid a glimmer of hope that the coronavirus  outbreak may be getting close to peaking  and will ultimately give up its stranglehold on the economy.
For sure, there are some positives amid the gloom of a growing number of virus c… [+5798 chars]",261
"Stock futures were flat in overnight trading following a big rally in the previous session fueled by optimism that the coronavirus outbreak is improving in the U.S. 
Dow futures fell, indicating a loss of 33 points at the open on Wednesday. The S&amp;P 500 a… [+3017 chars]",262
"NBA Commissioner Adam Silver does not expect any decisions to be made until at least May about the possible resumption of the 2019-20 season, saying the coronavirus pandemic simply makes it too difficult to project what will happen next.
Silver spoke on Mond… [+874 chars]",263
"UFC 249 will not proceed on April 18, despite Dana White's efforts to move forward with the pay-per-view event, the UFC president told ESPN's Brett Okamoto on Thursday.
White also said all other UFC events have been postponed indefinitely due to the coronavi… [+4245 chars]",264
"On the same day Dallas Cowboys executive vice president Stephen Jones said the organization has communicated with Dak Prescott and Ezekiel Elliott after a report of a party at the quarterback's house in Prosper, Texas, on Friday that would have violated guide… [+2514 chars]",265
"On the same day Dallas Cowboys executive vice president Stephen Jones said the organization has communicated with Dak Prescott and Ezekiel Elliott after a report of a party at the quarterback's house in Prosper, Texas, on Friday that would have violated guide… [+2514 chars]",266
"In recent weeks, officials within the NBA and NBPA have been collaborating in assessing the viability of multiple blood-testing devices for the novel coronavirus that could provide accurate results within a matter of minutes, a process that would hopefully en… [+6580 chars]",267
"The sports world has been at a standstill due to the coronavirus pandemic for roughly a month, and despite the widespread eagerness to restart games, a majority of Americans in a recent poll would not attend sporting events in person just yet.
A whopping 72%… [+1845 chars]",268
"Manchester City have confirmed that Pep Guardiola's mother has died after contracting coronavirus.
Euro 2020: Postponed for a yearChampions League: Suspended indefinitelyPremier League: Suspended indefinitelyLa Liga:Suspended indefinitelyBundesliga: Likely n… [+1051 chars]",269
"Five FBS conference commissioners have asked the NCAA to relax requirements to compete in Division I for four years, including the minimum number of sports a school must sponsor.
The letter from the commissioners of the American Athletic Conference, Mountain… [+1426 chars]",270
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",271
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",272
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",273
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",274
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",275
"As a critical care doctor in New York City, Monica is used to dealing with high-octane situations and treating severely ill patients. But she says the COVID-19 outbreak is unlike anything she’s seen before. Over the past few weeks, operating rooms have been t… [+7179 chars]",276
"Dr. Mark Pochapin, the Vice-Chair for Clinical Affairs at NYU Langone, is one of the many healthcare professionals around the country who are on the front lines of the coronavirus outbreak. In a new interview with Katie Couric, part of a video series with TIM… [+1328 chars]",277
"Dr. Mark Pochapin, the Vice-Chair for Clinical Affairs at NYU Langone, is one of the many healthcare professionals around the country who are on the front lines of the coronavirus outbreak. In a new interview with Katie Couric, part of a video series with TIM… [+1328 chars]",278
"The COVID-19 pandemic has resulted in a slew of requests and orders to stay home and work remotely as much as possible, in an effort to slow the spread of the novel coronavirus. All that isolation means many are using video conferencing software like Zoom to … [+7685 chars]",279
"Amid a shortage of medical-grade face masks, such as surgical masks (loose-fitting, disposable masks that block large droplets but don’t filter small particles) and N95 respirators (tight-fitting face coverings that filter out small particles), the U.S. feder… [+5927 chars]",280
"Amid a shortage of medical-grade face masks, such as surgical masks (loose-fitting, disposable masks that block large droplets but don’t filter small particles) and N95 respirators (tight-fitting face coverings that filter out small particles), the U.S. feder… [+5927 chars]",281
"Amid a shortage of medical-grade face masks, such as surgical masks (loose-fitting, disposable masks that block large droplets but don’t filter small particles) and N95 respirators (tight-fitting face coverings that filter out small particles), the U.S. feder… [+5927 chars]",282
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",283
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",284
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",285
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",286
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",287
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",288
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",289
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",290
"Emma Craig had been a waitress in New York City for eight years when she found a dream gig performing at a supper club in December and quit her restaurant job. But the supper club shut down on March 12, and since then, Craig says she has been calling the New … [+8911 chars]",291
"The coronavirus will be the end of the handshake as we know it, if Dr. Anthony Fauci has his way.
The director of the National Institute of Allergy and Infectious Disease, one of the leading experts in the fight against COVID-19 the U.S., told the Wall Stree… [+2268 chars]",292
"ROME — Europe is seeing further signs of hope in the coronavirus outbreak as Italy’s daily death toll was at its lowest in more than two weeks and health officials noted with caution Sunday that the infection curve was finally descending. In Spain, new deaths… [+3298 chars]",293
"Troubling headlines have been cropping up across Asia: Some patients in China, Japan and South Korea who were diagnosed with COVID-19 and seemingly recovered have been readmitted to the hospital after testing positive for the virus again. 
Because SARS-CoV-2… [+5698 chars]",294
"There are 70 coronavirus vaccines in development globally, with three candidates already being tested in human trials, according to the World Health Organization, as drugmakers race to find a cure for the deadly pathogen.
The furthest along in the clinical p… [+1269 chars]",295
"There are 70 coronavirus vaccines in development globally, with three candidates already being tested in human trials, according to the World Health Organization, as drugmakers race to find a cure for the deadly pathogen.
The furthest along in the clinical p… [+1269 chars]",296
"The world’s biggest pork producer is shuttering a major U.S. plant indefinitely after a coronavirus outbreak among employees, with the company warning that closures across the country are taking American meat supplies “perilously close to the edge” of shortfa… [+4989 chars]",297
"In early April, about four months after a new, highly infectious coronavirus was first identified in China, an international group of scientists reported encouraging results from a study of an experimental drug for treating the viral disease known as COVID-19… [+33516 chars]",298
"In early April, about four months after a new, highly infectious coronavirus was first identified in China, an international group of scientists reported encouraging results from a study of an experimental drug for treating the viral disease known as COVID-19… [+33516 chars]",299
"Brazil’s President Jair Bolsonaro is in a class of his own. He is the only leader left in the world to reject the consensus of scientists and statisticians on the gravity of the coronavirus outbreak. 
The far-right firebrand, who was elected in 2018 trading … [+7062 chars]",300
"Apple Inc. and Google unveiled a rare partnership to add technology to their smartphone platforms that will alert users if they have come into contact with a person with Covid-19. People must opt in to the system, but it has the potential to monitor about a t… [+3669 chars]",301
"Apple Inc. and Google unveiled a rare partnership to add technology to their smartphone platforms that will alert users if they have come into contact with a person with Covid-19. People must opt in to the system, but it has the potential to monitor about a t… [+3669 chars]",302
"Apple Inc. and Google unveiled a rare partnership to add technology to their smartphone platforms that will alert users if they have come into contact with a person with Covid-19. People must opt in to the system, but it has the potential to monitor about a t… [+3669 chars]",303
"Apple Inc. and Google unveiled a rare partnership to add technology to their smartphone platforms that will alert users if they have come into contact with a person with Covid-19. People must opt in to the system, but it has the potential to monitor about a t… [+3669 chars]",304
"(WASHINGTON) — Former President Barack Obama endorsed Joe Biden in a video on Tuesday, giving the presumptive Democratic presidential nominee a boost from the party’s biggest fundraiser and one of its most popular figures.
“I believe Joe has all the qualitie… [+5174 chars]",305
"As difficult as COVID-19 is here in America where people are urged to wash their hands multiple times a day, imagine you were living in a place where you had to walk two miles to access clean water. From India to Nigeria, tens of millions of people are living… [+4996 chars]",306
"In the early days of Donald Trump’s presidency, the White House was openly fixated on shrinking the footprint of the government Trump was leading. It was one part pander to his rally crowds that he would “drain the swamp” and another part distrust in a man wh… [+6872 chars]",307
"At the University of Louisville hospital in Kentucky, dozens of patients each day need the help of an interpreter to understand their medical conditions and make informed choices about their care. Before patients in the area showed COVID-19 symptoms, medical … [+8465 chars]",308
"The Federal Reserve may not be done with its all-out blitz to help the U.S. economy survive a coronavirus-induced shutdown, even after launching an unprecedented $2.3 trillion in lending programs.
The central bank used up only about 40% of the as much as $45… [+5603 chars]",309
"The Federal Reserve may not be done with its all-out blitz to help the U.S. economy survive a coronavirus-induced shutdown, even after launching an unprecedented $2.3 trillion in lending programs.
The central bank used up only about 40% of the as much as $45… [+5603 chars]",310
"A tiger at the Bronx Zoo in New York City has tested positive for SARS-CoV-2, the virus that causes COVID-19 in people, according to the United States Department of Agriculture’s (USDA) National Veterinary Services Laboratories. The big cat is thought to be t… [+4014 chars]",311
"New York City’s low-income neighborhoods appear to be some of the hardest hit by coronavirus, according to data released by the city’s health department.
This week, the NYC Department of Health and Mental Hygiene published a breakdown of COVID-19 cases by zi… [+3906 chars]",312
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",313
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",314
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",315
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",316
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",317
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",318
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",319
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",320
"The novel coronavirus pandemic is a global crisis, a national emergency and a local nightmare. But while a great deal of the focus in the U.S. has been on the federal government’s response, widely criticized as slow and halting, the picture on the ground rema… [+3885 chars]",321
RAND,322
RAND,323
RAND,324
RAND,325
RAND,326
RAND,327
RAND,328
RAND,329
RAND,330
RAND,331
RAND,332
RAND,333
RAND,334
RAND,335
RAND,336
RAND,337
RAND,338
RAND,339
RAND,340
RAND,341
RAND,342
RAND,343
RAND,344
RAND,345
RAND,346
RAND,347
RAND,348
RAND,349
RAND,350
RAND,351
RAND,352
RAND,353
RAND,354
RAND,355
RAND,356
RAND,357
RAND,358
RAND,359
RAND,360
RAND,361
RAND,362
RAND,363
RAND,364
RAND,365
RAND,366
RAND,367
RAND,368
RAND,369
RAND,370
RAND,371
RAND,372
RAND,373
"Amazon Game Studios is delaying its massively multiplayer online game New World to August, according to a post on the games website. The studio cites the unexpected challenges of developing an MMO as a remote team while self-isolating due to the coronavirus p… [+1239 chars]",374
"Amazon Game Studios is delaying its massively multiplayer online game New World to August, according to a post on the games website. The studio cites the unexpected challenges of developing an MMO as a remote team while self-isolating due to the coronavirus p… [+1239 chars]",375
"Pro-democracy protesters in Hong Kong have been pushed inside, like many of us around the world, as the coronavirus pandemic disrupts everyday life. School, work, and other events have been moved online including protests. Activists are using Nintendos new, i… [+3130 chars]",376
"Pro-democracy protesters in Hong Kong have been pushed inside, like many of us around the world, as the coronavirus pandemic disrupts everyday life. School, work, and other events have been moved online including protests. Activists are using Nintendos new, i… [+3130 chars]",377
"In a new post on its website, Blizzard revealed the possibility of BlizzCon 2020s cancellation. While the studio still plans to host its annual November convention, BlizzCon executive producer, Saralyn Smith, candidly spoke to the uncertainty around the event… [+2167 chars]",378
"In a new post on its website, Blizzard revealed the possibility of BlizzCon 2020s cancellation. While the studio still plans to host its annual November convention, BlizzCon executive producer, Saralyn Smith, candidly spoke to the uncertainty around the event… [+2167 chars]",379
"Final Fantasy 14s next major update, patch 5.3, has been delayed. Square Enix producer Naoki Yoshida announced on Friday that the games next patch, originally scheduled for mid-June, could arrive as late as July due to the ongoing coronavirus pandemic.
Tokyo… [+2081 chars]",380
"Many of us have framed the coronavirus lockdown as an ideal time to tackle long-delayed self-improvement projects, like learning a new language or a musical instrument. Also, a lot of us are spending our time playing video games. But it looks like plenty of p… [+6788 chars]",381
"Many of us have framed the coronavirus lockdown as an ideal time to tackle long-delayed self-improvement projects, like learning a new language or a musical instrument. Also, a lot of us are spending our time playing video games. But it looks like plenty of p… [+6788 chars]",382
"With Discord use surging during the COVID-19 outbreak, the VOIP and chat utility is rolling out an update that will cut down on background noise interfering with voice calls.
Discord announced the feature yesterday; its in beta for desktop versions of the Di… [+1581 chars]",383
"With Discord use surging during the COVID-19 outbreak, the VOIP and chat utility is rolling out an update that will cut down on background noise interfering with voice calls.
Discord announced the feature yesterday; its in beta for desktop versions of the Di… [+1581 chars]",384
"With Discord use surging during the COVID-19 outbreak, the VOIP and chat utility is rolling out an update that will cut down on background noise interfering with voice calls.
Discord announced the feature yesterday; its in beta for desktop versions of the Di… [+1581 chars]",385
"With Discord use surging during the COVID-19 outbreak, the VOIP and chat utility is rolling out an update that will cut down on background noise interfering with voice calls.
Discord announced the feature yesterday; its in beta for desktop versions of the Di… [+1581 chars]",386
Sony Interactive Entertainment is encouraging PlayStation 4 owners to stay at home during the coronavirus pandemic by giving away two games: Uncharted: The Nathan Drake Collection and Journey. Both PS4 games will be free to download no PlayStation Plus requir… [+1300 chars],387
Sony Interactive Entertainment is encouraging PlayStation 4 owners to stay at home during the coronavirus pandemic by giving away two games: Uncharted: The Nathan Drake Collection and Journey. Both PS4 games will be free to download no PlayStation Plus requir… [+1300 chars],388
"Game might be delayed by COVID-19, but if it is, it wont be for long",389
"Game might be delayed by COVID-19, but if it is, it wont be for long",390
"LONDON (Reuters) - The death toll from COVID-19 has risen to 10,612 across hospitals in the United Kingdom after a recorded daily rise of 737, the health ministry said on Sunday. 
The figures were as of 1700 BST (1600 GMT) on April 11. 
The two previous dai… [+217 chars]",391
"LONDON (Reuters) - The death toll from COVID-19 has risen to 10,612 across hospitals in the United Kingdom after a recorded daily rise of 737, the health ministry said on Sunday. 
The figures were as of 1700 BST (1600 GMT) on April 11. 
The two previous dai… [+217 chars]",392
"(Reuters) - U.S. President Donald Trump has instructed his administration to temporarily halt funding to the World Health Organization (WHO) over its handling of the coronavirus pandemic. 
Trump said the WHO “failed in its basic duty and it must be held acco… [+3165 chars]",393
"BEIJING (Reuters) - The coronavirus outbreak will have no impact on the progress of nuclear power plant construction in China in the short term, and reactors already in operation have not been affected, a nuclear safety official said at a briefing on Wednesda… [+576 chars]",394
"NEW YORK (Reuters) - Wall Street closed out the trading week on a high note on Thursday as the U.S. Federal Reserve unleashed another program designed to buoy local governments and businesses crushed by massive closures to stem the coronavirus outbreak. 
The… [+2953 chars]",395
"(Reuters) - The number of deaths linked to the novel coronavirus reached 100,000 on Friday, as the tally of cases passed 1.6 million, according to a Reuters tally. 
The first death came in the central Chinese city of Wuhan on Jan. 9. It took 83 days for the … [+2435 chars]",396
"(Reuters) - U.S. aero parts maker Triumph Group Inc (TGI.N) said it was furloughing about 2,300 employees across its U.S. and European plants for two to four weeks to cut capacity linked to Boeing (BA.N) commercial aircraft programs amid the coronavirus outbr… [+1094 chars]",397
"(Reuters) - U.S. aero parts maker Triumph Group Inc (TGI.N) said it was furloughing about 2,300 employees across its U.S. and European plants for two to four weeks to cut capacity linked to Boeing (BA.N) commercial aircraft programs amid the coronavirus outbr… [+1094 chars]",398
"(Reuters) - U.S. aero parts maker Triumph Group Inc (TGI.N) said it was furloughing about 2,300 employees across its U.S. and European plants for two to four weeks to cut capacity linked to Boeing (BA.N) commercial aircraft programs amid the coronavirus outbr… [+1094 chars]",399
"(Reuters) - U.S. church leaders peppered their Easter homilies with references to the coronavirus on Sunday, in masses held online, on television and even in parking lots to people sheltering in cars to maintain social distancing during the pandemic. 
For th… [+4212 chars]",400
"(Reuters) - Results will be released on Monday for a hotly contested state Supreme Court race, a presidential primary and other elections conducted in Wisconsin last week despite health fears from the coronavirus and a flurry of 11th-hour legal challenges. 
… [+2830 chars]",401
"WASHINGTON/NEW YORK (Reuters) - New York City, the hardest hit U.S. city in the coronavirus pandemic, revised its official COVID-19 death toll sharply higher to more than 10,000 on Tuesday, to include victims presumed to have perished from the lung disease bu… [+5607 chars]",402
"WASHINGTON/NEW YORK (Reuters) - New York City, the hardest hit U.S. city in the coronavirus pandemic, revised its official COVID-19 death toll sharply higher to more than 10,000 on Tuesday, to include victims presumed to have perished from the lung disease bu… [+5607 chars]",403
"WASHINGTON/NEW YORK (Reuters) - New York City, the hardest hit U.S. city in the coronavirus pandemic, revised its official COVID-19 death toll sharply higher to more than 10,000 on Tuesday, to include victims presumed to have perished from the lung disease bu… [+5607 chars]",404
"LONDON (Reuters) - British foreign minister Dominic Raab is designated to take over leadership of the country if Prime Minister Boris Johnson, currently ill in hospital with persistent symptoms of the coronavirus, is unable to fulfil his role. 
Johnson is st… [+1621 chars]",405
"NEW YORK (Reuters) - Oil prices tumbled on Thursday on doubts that a deal between OPEC and allies to make a record oil supply cut would be enough to offset the collapse in global fuel demand caused by the coronavirus pandemic. 
The Organization of the Petrol… [+3237 chars]",406
"(Reuters) - The number of confirmed infections of the novel coronavirus were reported to have exceeded 1.5 million globally and the death toll rose above 89,400, according to a Reuters tally as of 1400 GMT. 
DEATHS AND INFECTIONS 
* For an interactive graph… [+5830 chars]",407
DUBAI/MOSCOW/LONDON (Reuters) - OPEC and its allies led by Russia agreed on Thursday to cut their oil output by more than a fifth and said they expected the United States and other producers to join in their effort to prop up prices hammered by the coronaviru… [+4671 chars],408
"SINGAPORE (Reuters) - Singapore has suspended the use of video-conferencing tool Zoom by teachers after “very serious incidents” in the first week of a coronavirus lockdown that has seen schools move to home-based learning. 
One incident involved obscene ima… [+2370 chars]",409
"(Reuters) - U.S. coronavirus cases topped 500,000 on Friday, according to a Reuters tally, although there are signs that Americans staying home was helping to curb new infections. 
Confirmed U.S. cases of the COVID-19 illness caused by the virus have been ri… [+1438 chars]",410
"NEW YORK (Reuters) - As American Christians began Easter weekend under threat of the coronavirus, political leaders and health experts on Friday cautioned the faithful not to gather in churches or relax social distancing practices. 
Dr. Anthony Fauci, the go… [+5254 chars]",411
WASHINGTON/CHICAGO (Reuters) - U.S. Treasury Secretary Steven Mnuchin told major airlines on Friday he wants them to repay some of the $25 billion in cash grants the U.S. Congress approved last month to cover payroll costs as airlines weather an unprecedented… [+5022 chars],412
"WASHINGTON (Reuters) - U.S. President Donald Trump on Friday ordered top U.S. administration officials to help Italy in fighting the novel coronavirus by providing medical supplies, humanitarian relief and other assistance. 
In a memo to several Cabinet mini… [+403 chars]",413
"JERUSALEM (Reuters) - Ten Jewish worshippers wearing face masks prayed at the Western Wall on Sunday at a special “Priestly Blessing” during the holiday of Passover, an event usually attended by thousands. 
Because of coronavirus restrictions banning large p… [+1258 chars]",414
"MADRID (Reuters) - Spain’s Prime Minister Pedro Sanchez said on Sunday any further loosening of the country’s lockdown restrictions would depend on more progress in the fight against the coronavirus, a day before some companies plan to reopen their doors. 
T… [+3149 chars]",415
"LONDON (Reuters) - British Prime Minister Boris Johnson left hospital on Sunday and thanked the National Health Service for saving his life, saying “things could have gone either way” for him as he battled COVID-19. 
Johnson, 55, was taken to St Thomas’ Hosp… [+2623 chars]",416
"LONDON (Reuters) - British Prime Minister Boris Johnson left hospital on Sunday and thanked the National Health Service for saving his life, saying “things could have gone either way” for him as he battled COVID-19. 
Johnson, 55, was taken to St Thomas’ Hosp… [+2623 chars]",417
"(Reuters) - The total number of people hospitalized in New York fell for the first time since the onset of the coronavirus outbreak, a further sign the state at the epicenter may be at the peak of its crisis, Governor Andrew Cuomo said on Tuesday. 
He told a… [+2632 chars]",418
"WASHINGTON (Reuters) - President Donald Trump said on Tuesday he would halt funding to the World Health Organization over its handling of the coronavirus pandemic while his administration reviews its response to the global crisis. 
Trump, at a White House ne… [+4906 chars]",419
WASHINGTON (Reuters) - U.S. President Donald Trump said he may get involved in a deepening crisis in the Navy after its top civilian on Monday ridiculed a revered former commander whose letter pleading for help for his coronavirus-stricken aircraft carrier wa… [+3440 chars],420
"LONDON (Reuters) - British Prime Minister Boris Johnson was being treated for worsening coronavirus symptoms in an intensive care unit on Tuesday, with his foreign minister deputizing for him as the nation tackles the COVID-19 crisis. 
Johnson, 55, was admit… [+4437 chars]",421
"(Reuters) - The Wisconsin Supreme Court put the state’s chaotic presidential primary back on track, ruling on Monday that Democratic Governor Tony Evers cannot postpone in-person voting to June despite the coronavirus crisis. 
Evers had moved earlier in the … [+3687 chars]",422
"WASHINGTON (Reuters) - Acting U.S. Navy Secretary Thomas Modly issued an apology on Monday to the former commander of a coronavirus-stricken aircraft carrier after sharply criticizing him in a speech to his crew, just days after firing him. 
“I do not think … [+433 chars]",423
"VAN NUYS, Calif. (Reuters) - A pop-up food pantry in Southern California on Thursday drew so many people that the line of cars waiting for free groceries stretched about a mile (1.6 km), a haunting sign of how the coronavirus pandemic has hurt the working poo… [+2397 chars]",424
"SANTIAGO/MEXICO CITY (Reuters) - In the usually bustling streets of the downtown Santiago this week, Chilean great-grandmother Luz Maria Rios was ignoring a coronavirus quarantine and risking her health to sell Easter eggs. 
For hours, she saw no customers. … [+3867 chars]",425
"BEIJING (Reuters) - China on Saturday reported a rise in new coronavirus cases, as authorities try to head off a second wave of COVID-19, particularly from imported and asymptomatic infections, as city and travel restrictions are lifted. 
The National Health… [+1425 chars]",426
"BEIJING (Reuters) - China on Saturday reported a rise in new coronavirus cases, as authorities try to head off a second wave of COVID-19, particularly from imported and asymptomatic infections, as city and travel restrictions are lifted. 
The National Health… [+1425 chars]",427
"BEIJING (Reuters) - China on Saturday reported a rise in new coronavirus cases, as authorities try to head off a second wave of COVID-19, particularly from imported and asymptomatic infections, as city and travel restrictions are lifted. 
The National Health… [+1425 chars]",428
"(Reuters) - Americans spent Sunday on lockdown as the U.S. toll from the novel coronavirus pandemic surpassed 21,300 deaths and more than half a million confirmed cases over the Easter weekend. 
With almost all the country under stay-at-home orders to curb t… [+4802 chars]",429
"VATICAN CITY (Reuters) - Pope Francis called on Sunday for global solidarity in fighting the coronavirus pandemic and its economic fallout, urging the relaxation of international sanctions, debt relief for poor nations and ceasefires in all conflicts. 
He al… [+2959 chars]",430
"OTTAWA (Reuters) - The number of Canadian deaths from the new coronavirus rose by more than 12% to 674 in a day, official data showed on Sunday, and Quebec officials opened a probe into the deaths of 31 people in a seniors’ residence. 
The public health agen… [+1816 chars]",431
"NEW YORK (Reuters) - The coronavirus outbreak could reach its peak in the United States this week, a top U.S. health official said on Monday as New York Governor Andrew Cuomo declared “the worst is over” for his state, the U.S. epicenter of the virus. 
Even … [+3986 chars]",432
"LONDON (Reuters) - Britain should expect the number of daily deaths from coronavirus to continue to rise this week, followed by a plateau for a period of two to three weeks, the government’s chief scientific adviser said on Monday. 
“You’d expect that (the p… [+311 chars]",433
"LONDON (Reuters) - Britain should expect the number of daily deaths from coronavirus to continue to rise this week, followed by a plateau for a period of two to three weeks, the government’s chief scientific adviser said on Monday. 
“You’d expect that (the p… [+311 chars]",434
"MADRID/LONDON (Reuters) - U.S. coronavirus deaths set a single-day record on Tuesday, a grim milestone as the country debated how to reopen its economy and as Spain and Austria allowed partial returns to work but the UK, France and India extended lockdowns. … [+5595 chars]",435
"NEW YORK (Reuters) - New York’s attorney general on Tuesday sued the Trump administration over a federal rule that she says illegally limits paid sick leave for workers affected by the coronavirus. 
Attorney General Letitia James said in a lawsuit filed in M… [+1299 chars]",436
"BEIJING (Reuters) - China reported on Wednesday a decline in new confirmed cases of the coronavirus in the mainland, although an increasing number of local transmissions in its far northeast bordering Russia remained a concern for authorities. 
China reporte… [+1862 chars]",437
"LONDON (Reuters) - British Prime Minister Boris Johnson was moved to intensive care on Monday after his coronavirus symptoms worsened and he has asked Foreign Secretary Dominic Raab to deputize, Downing Street said. 
Below is reaction to the news: 
KEIR STA… [+1266 chars]",438
"LONDON (Reuters) - British Prime Minister Boris Johnson was moved to an intensive care unit on Monday after his coronavirus symptoms worsened, but his Downing Street office said he was still conscious. 
Britain has no formal succession plan should the prime … [+1702 chars]",439
